txId,class
900000000,unknown
900000001,2
900000002,2
900000003,1
900000004,2
900000005,unknown
900000006,1
900000007,2
900000008,2
900000009,1
900000010,unknown
900000011,2
900000012,1
900000013,2
900000014,2
900000015,unknown
900000016,2
900000017,2
900000018,1
900000019,2
900000020,unknown
900000021,1
900000022,2
900000023,2
900000024,1
900000025,unknown
900000026,2
900000027,1
900000028,2
900000029,2
900000030,unknown
900000031,2
900000032,2
900000033,1
900000034,2
900000035,unknown
900000036,1
900000037,2
900000038,2
900000039,1
900000040,unknown
900000041,2
900000042,1
900000043,2
900000044,2
900000045,unknown
900000046,2
900000047,2
900000048,1
900000049,2
900000050,unknown
900000051,1
900000052,2
900000053,2
900000054,1
900000055,unknown
900000056,2
900000057,1
900000058,2
900000059,2
900000060,unknown
900000061,2
900000062,2
900000063,1
900000064,2
900000065,unknown
900000066,1
900000067,2
900000068,2
900000069,1
900000070,unknown
900000071,2
900000072,1
900000073,2
900000074,2
900000075,unknown
900000076,2
900000077,2
900000078,1
900000079,2
900000080,unknown
900000081,1
900000082,2
900000083,2
900000084,1
900000085,unknown
900000086,2
900000087,1
900000088,2
900000089,2
900000090,unknown
900000091,2
900000092,2
900000093,1
900000094,2
900000095,unknown
900000096,1
900000097,2
900000098,2
900000099,1
